"author","author_type","url","location","deal_type","accommodation_type","floor","floors_count","rooms_count","total_meters","price_per_month","commissions","district","street","house_number","underground","residential_complex"
"Ирина Василевская","realtor","https://www.cian.ru/rent/flat/187428182/","Москва","rent","flat","3","5","1","30","30000","0","Северное Измайлово","Сиреневый бульвар","7","Щёлковская",""
"ID 40049503","unknown","https://www.cian.ru/rent/flat/317172381/","Москва","rent","flat","2","34","-1","55.7","25000","0","Войковский"," Адмирала Макарова","6Ак1","Водный стадион",""
"ID 12156","realtor","https://www.cian.ru/rent/flat/317607358/","Москва","rent","flat","5","9","1","50","30000","0","Нагорный","Варшавское шоссе","71К1","Варшавская",""
"ID 73889857","unknown","https://www.cian.ru/rent/flat/314020622/","Москва","rent","flat","1","5","1","32","30000","0","Лосиноостровский","Анадырский проезд","41","Бабушкинская",""
"Метрика","real_estate_agent","https://www.cian.ru/rent/flat/317240816/","Москва","rent","flat","10","12","1","23","29998","0","НАО (Новомосковский)"," Яворки","1к1","",""
"ID 94034124","homeowner","https://www.cian.ru/rent/flat/317914468/","Москва","rent","flat","5","5","1","32","27000","0","Кузьминки","Волгоградский проспект","107К1","Кузьминки",""
"ID 24644","realtor","https://www.cian.ru/rent/flat/317372022/","Москва","rent","flat","9","14","1","35","28000","0","Савёлки","Зеленоград","к515","Зеленоград — Крюково",""
"ID 73889857","unknown","https://www.cian.ru/rent/flat/314326568/","Москва","rent","flat","1","5","-1","30","30000","0","Лосиноостровский","Анадырский проезд","41","Бабушкинская",""
"ID 120021","homeowner","https://www.cian.ru/rent/flat/303654691/","Москва","rent","flat","1","2","1","19","29000","0",""," Московская","","Саларьево",""
"ID 15832305","homeowner","https://www.cian.ru/rent/flat/218913377/","Москва","rent","flat","3","5","1","18","30000","0","Соколиная гора"," Буракова","1К1","Сортировочная",""
"Сергей Ваняев","realtor","https://www.cian.ru/rent/flat/169086145/","Москва","rent","flat","11","23","1","14","28000","0","Ярославский","Ярославское шоссе","124","Медведково",""
"Самолет Плюс Москва","real_estate_agent","https://www.cian.ru/rent/flat/316889816/","Москва","rent","flat","7","17","1","37","30000","0","Братеево"," Борисовские Пруды","18К1","Борисово",""
"ОРИОН","real_estate_agent","https://www.cian.ru/rent/flat/317915335/","Москва","rent","flat","1","5","1","31.4","30000","0","Коптево","3-й Михалковский переулок","21","Коптево",""
"Юлия Максимюк","realtor","https://www.cian.ru/rent/flat/317695370/","Москва","rent","flat","2","17","1","22","25000","0","Некрасовка"," Ухтомского Ополчения","8","Некрасовка",""
"ID 53415616","homeowner","https://www.cian.ru/rent/flat/314415769/","Москва","rent","flat","3","19","1","25","29000","0","Некрасовка"," Льва Яшина","7","Некрасовка",""
