floor,floors_count,rooms_count,total_meters,price_per_month,district,street,house_number,underground,lat,lon,geo_quality
3,5,1,30.0,30000,Северное Измайлово,Сиреневый бульвар,7,Щёлковская,55.8029801,37.7754446,1
2,34,-1,55.7,25000,Войковский, Адмирала Макарова,6Ак1,Водный стадион,55.8338694,37.4910559,0
5,9,1,50.0,30000,Нагорный,Варшавское шоссе,71К1,Варшавская,55.6604116,37.6202673,1
1,5,1,32.0,30000,Лосиноостровский,Анадырский проезд,41,Бабушкинская,55.8705335,37.6934884,1
10,12,1,23.0,29998,НАО (Новомосковский), Яворки,1к1,Филатов луг,55.5090919,37.3454875,1
5,5,1,32.0,27000,Кузьминки,Волгоградский проспект,107К1,Кузьминки,55.7073607,37.7573757,1
9,14,1,35.0,28000,Савёлки,Зеленоград,к515,Зеленоград — Крюково,55.9983952,37.2367706,1
1,5,-1,30.0,30000,Лосиноостровский,Анадырский проезд,41,Бабушкинская,55.8705335,37.6934884,1
3,5,1,18.0,30000,Соколиная гора, Буракова,1К1,Сортировочная,55.7664402,37.7267164,1
11,23,1,14.0,28000,Ярославский,Ярославское шоссе,124,Медведково,55.8707547,37.7133694,1
7,17,1,37.0,30000,Братеево, Борисовские Пруды,18К1,Борисово,55.636993,37.7506481,1
1,5,1,31.4,30000,Коптево,3-й Михалковский переулок,21,Коптево,55.8364999,37.5231159,1
2,17,1,22.0,25000,Некрасовка, Ухтомского Ополчения,8,Некрасовка,55.6987224,37.9269152,1
13,28,1,23.0,30000,Митино,Пятницкое шоссе,56Б,Пятницкое шоссе,55.8551998,37.3561824,1
7,9,1,34.0,30000,Некрасовка,1-я Вольская ,13К2,Люберцы,55.6851707,37.9262726,1
29,33,1,20.0,30000,Алтуфьевский,Алтуфьевское шоссе,55к5,Бескудниково,55.9129837,37.5905834,0
10,14,1,38.0,30000,Молжаниновский,Ленинградское шоссе,228к3,Молжаниново,55.9322935,37.3827909,1
3,9,1,25.0,30000,Чертаново Центральное,Днепропетровская ,37К1,Пражская,55.6154699,37.5877782,1
2,3,1,25.0,30000,Северное Измайлово,Щелковское шоссе,100к1,Щёлковская,55.8099295,37.7854812,0
5,5,1,33.0,30000,Можайский, Маршала Неделина,12,Рабочий посёлок,55.7251366,37.407919,1
14,14,1,29.0,30000,Рязановское,шоссе Остафьевское,12к2,Щербинка,55.5009087,37.5220419,1
2,14,1,23.7,30000,Филимонковское, Усадебный Парк,7к1,Филатов Луг,55.5709856,37.2823747,1
8,14,1,28.0,30000,Рязановское,шоссе Остафьевское,14к3,Щербинка,55.5004362,37.5185125,1
16,19,1,15.0,16500,Молжаниновский,Синявинская ,11к4,Подрезково,55.9472423,37.3447559,1
1,5,1,36.0,30000,Троицк, Текстильщиков,1а,Ольховая,55.4917322,37.3111937,1
9,22,1,30.0,30000,Щербинка, Барышевская Роща,18,Щербинка,55.5032062,37.5368944,1
2,2,-1,21.0,28000,Щербинка, Железнодорожная,22А,Щербинка,55.5008969,37.5612403,1
4,17,1,28.0,30000,Десёновское, 3-я Нововатутинская,8,Ольховая,55.5213205,37.3477265,1
5,5,1,21.0,30000,Ярославский,Холмогорская ,3,Медведково,55.8797264,37.7185833,1
3,9,1,35.0,30000,Троицк, Школьная,9,Толстопальцево,55.5934844,37.2159789,1
18,19,1,29.6,29000,Щербинка, Барышевская Роща,12,Щербинка,55.5036662,37.5398515,1
4,22,2,68.0,28000,Лефортово, Крузенштерна,2,Площадь Ильича,55.7501985,37.687427,1
9,25,2,64.0,25000,Савеловский, Юннатов,4кВ,Гражданская,55.7999629,37.5613445,1
5,16,1,20.0,28000,Щербинка, Дзержинского,6,Кокошкино,55.4984588,37.5525274,1
1,12,1,14.0,26800,Можайский,Сколковское шоссе,10,Сетунь,55.7093749,37.4017614,1
9,16,1,20.0,30000,Крюково,проспект Георгиевский,37к1,Зеленоград — Крюково,55.9676733,37.149908,1
7,17,1,43.0,30000,Южное Бутово, Маршала Савицкого,12,Щербинка,55.5041853,37.5844773,1
2,5,1,22.0,30000,Головинский,Онежская ,15,Коптево,55.850465,37.5178353,1
13,13,1,26.0,30000,Рязановское,шоссе Рязановское,31к1,Силикатная,55.4761547,37.5307435,1
11,16,1,40.0,30000,Южное Бутово,2-я Мелитопольская ,19К3,Бутово,55.5394752,37.5804604,1
6,20,1,40.0,15000,Бирюлево Восточное,6-я Радиальная ,7/1к1,Царицыно,55.6078868,37.6648622,1
30,38,1,43.1,30000,Пресненский,Шмитовский проезд,39к6,Шелепиха,55.7559044,37.5392143,0
9,15,1,24.0,29999,Рязановское, Уточкина,5к2,Силикатная,55.4744549,37.5252947,1
4,5,1,16.0,30000,Хорошево-Мневники,бульвар Генерала Карбышева,19К5,Народное Ополчение,55.7833468,37.4665517,1
2,2,1,19.4,30000,Кокошкино, 1-я Октябрьская,46А,Кокошкино,55.5943521,37.1596807,1
4,5,1,25.0,30000,Ярославский,Холмогорская ,3,Медведково,55.8797264,37.7185833,1
11,14,2,37.5,30000,Рязановское, Красовского,2к2,Щербинка,55.4958433,37.5207514,1
14,16,1,45.0,28000,Троицк,проспект Октябрьский,4,Кокошкино,55.5970065,37.1697456,1
3,5,1,33.2,27000,пос. Рогово, Юбилейная,15,Медведково,55.9115767,37.7167204,1
1,9,1,40.0,30000,Старое Крюково,Зеленоград,к920,Зеленоград — Крюково,55.9853885,37.1872955,1
16,17,1,27.0,30000,Крюково,проспект Георгиевский,33к2,Зеленоград — Крюково,55.9674343,37.1523127,1
1,19,1,23.0,25000,Молжаниновский,Синявинская ,11к3,Подрезково,55.9486903,37.3475059,1
11,14,1,25.0,29999,Рязановское, Уточкина,7к3,Силикатная,55.4756831,37.5239916,1
8,23,1,40.0,30000,Западное Дегунино, Летчика Осканова,6,Верхние Лихоборы,55.8553244,37.5574996,1
13,14,1,32.0,30000,Рязановское,переулок Любучанский,1к1,Щербинка,55.5005404,37.5251694,1
10,12,3,79.0,20000,Можайский,Сколковское шоссе,40к2,Сетунь,55.7007091,37.3938282,1
1,14,1,12.0,26000,Южное Бутово, Маршала Савицкого,18к2,Щербинка,55.5028626,37.5883355,1
18,32,1,37.8,25000,Можайский, Петра Алексеева,14,Давыдково,55.7162587,37.4311173,1
1,11,2,61.0,30000,Можайский,Сколковское шоссе,40к1,Сетунь,55.7002251,37.3947116,1
11,17,1,24.0,30000,Рязановское, Уточкина,5к2,Силикатная,55.4744549,37.5252947,1
11,29,-1,21.0,29000,Митино,Пятницкое шоссе,56Б,Пятницкое шоссе,55.8551998,37.3561824,1
4,19,1,23.0,26000,Молжаниновский,Синявинская ,11к3,Подрезково,55.9486903,37.3475059,1
2,23,1,27.0,30000,Щербинка, Барышевская Роща,18,Щербинка,55.5032062,37.5368944,1
2,8,1,25.0,30000,Филимонковское, Братьев Бромлей,5к2,Филатов Луг,55.5664977,37.2875472,1
1,3,1,20.0,29000,Бабушкинский, Радужная,2,Троицк,55.8598367,37.6635309,0
1,15,-1,20.0,27000,Щербинка, Барышевская Роща,2,Щербинка,55.500556,37.5429431,1
7,8,1,45.5,25000,Московский, Татьянин Парк,12к5,Говорово,55.6558112,37.4228045,1
3,4,1,36.8,17000,Краснопахорское, Ирландская,4к2,Потапово,55.4336693,37.3248717,1
