floor,floors_count,rooms_count,total_meters,price_per_month,district,street,house_number,underground,lat,lon,geo_quality,dist_to_center_km,dist_to_metro_km,parks_1km,groceries_top_1km,schools_1km,pharmacies_top_1km,clinics_1km
3,5,1,30.0,30000,Северное Измайлово,Сиреневый бульвар,7,Щелковская,55.8029801,37.7754446,1,11.387233145452456,1.6234675669060394,0,11,4,0,4
2,34,0,55.7,25000,Войковский, Адмирала Макарова,6Ак1,Водный стадион,55.8338694,37.4910559,0,12.05417772870288,0.609563281225426,0,6,1,0,0
5,9,1,50.0,30000,Нагорный,Варшавское шоссе,71К1,Варшавская,55.6604116,37.6202673,1,10.18819925308288,0.7887969627784753,0,2,5,0,4
1,5,1,32.0,30000,Лосиноостровский,Анадырский проезд,41,Бабушкинская,55.8705335,37.6934884,1,14.007040949671138,1.818471842455404,0,3,3,1,0
10,12,1,23.0,29998,НАО (Новомосковский), Яворки,1к1,Филатов луг,55.5090919,37.3454875,1,31.95673810091383,10.803737494463718,0,0,1,0,0
5,5,1,32.0,27000,Кузьминки,Волгоградский проспект,107К1,Кузьминки,55.7073607,37.7573757,1,10.068224538809892,0.4250411129915208,1,3,5,1,1
9,14,1,35.0,28000,Савёлки,Зеленоград,к515,Малино,55.9983952,37.2367706,1,36.25675423602531,3.6057201076772136,3,1,1,0,1
1,5,0,30.0,30000,Лосиноостровский,Анадырский проезд,41,Бабушкинская,55.8705335,37.6934884,1,14.007040949671138,1.818471842455404,0,3,3,1,0
3,5,1,18.0,30000,Соколиная гора, Буракова,1К1,Сортировочная,55.7664402,37.7267164,1,7.018851405444076,0.4841771889113311,1,3,3,0,4
11,23,1,14.0,28000,Ярославский,Ярославское шоссе,124,Медведково,55.8707547,37.7133694,1,14.497761368926032,3.7633934964063087,2,3,1,0,2
7,17,1,37.0,30000,Братеево, Борисовские Пруды,18К1,Борисово,55.636993,37.7506481,1,15.271973019948913,0.6785328662411827,2,6,3,0,0
1,5,1,31.4,30000,Коптево,3-й Михалковский переулок,21,Коптево,55.8364999,37.5231159,1,11.092550174230643,0.3982969522986274,3,2,6,0,2
2,17,1,22.0,25000,Некрасовка, Ухтомского Ополчения,8,Некрасовка,55.6987224,37.9269152,1,20.261978461687644,0.4656483082081474,3,4,3,1,2
13,28,1,23.0,30000,Митино,Пятницкое шоссе,56Б,Пятницкое шоссе,55.8551998,37.3561824,1,19.95805515652061,0.259101098935356,2,5,2,2,6
7,9,1,34.0,30000,Некрасовка,1-я Вольская ,13К2,Панки,55.6851707,37.9262726,1,20.718402163584564,1.8258287100222093,4,4,5,0,0
29,33,1,20.0,30000,Алтуфьевский,Алтуфьевское шоссе,55к5,Бескудниково,55.9129837,37.5905834,0,17.976765428097305,3.654150660852546,0,0,0,1,0
10,14,1,38.0,30000,Молжаниновский,Ленинградское шоссе,228к3,Молжаниново,55.9322935,37.3827909,1,24.830102453954392,0.9118196846489608,0,0,0,0,0
3,9,1,25.0,30000,Чертаново Центральное,Днепропетровская ,37К1,Пражская,55.6154699,37.5877782,1,15.297889048949278,1.0453863606470843,1,8,3,2,0
2,3,1,25.0,30000,Северное Измайлово,Щелковское шоссе,100к1,Щелковская,55.8099295,37.7854812,0,12.320579462776164,0.7985521235486333,1,3,7,0,4
5,5,1,33.0,30000,Можайский, Маршала Неделина,12,Рабочий Посёлок,55.7251366,37.407919,1,13.455891715511449,0.5205113681541252,2,4,3,0,3
14,14,1,29.0,30000,Рязановское,шоссе Остафьевское,12к2,Щербинка,55.5009087,37.5220419,1,28.55846173020264,2.700931608524132,1,0,1,0,0
2,14,1,23.7,30000,Филимонковское, Усадебный Парк,7к1,Филатов луг,55.5709856,37.2823747,1,29.10447849566376,8.486992908521316,0,3,1,0,0
8,14,1,28.0,30000,Рязановское,шоссе Остафьевское,14к3,Щербинка,55.5004362,37.5185125,1,28.657071537165105,2.927289888535274,1,0,1,0,0
16,19,1,15.0,16500,Молжаниновский,Синявинская ,11к4,Подрезково,55.9472423,37.3447559,1,27.587259200974017,0.8801732700267593,0,1,2,0,4
1,5,1,36.0,30000,Троицк, Текстильщиков,1а,Ольховая,55.4917322,37.3111937,1,34.749900840926216,12.673155151424645,1,2,1,0,0
9,22,1,30.0,30000,Щербинка, Барышевская Роща,18,Щербинка,55.5032062,37.5368944,1,28.12608612958656,1.7395936060930766,3,3,1,1,1
2,2,0,21.0,28000,Щербинка, Железнодорожная,22А,Щербинка,55.5008969,37.5612403,1,28.14641793711587,0.982718596681602,0,3,3,1,1
4,17,1,28.0,30000,Десёновское, 3-я Нововатутинская,8,Ольховая,55.5213205,37.3477265,1,30.736810760875827,8.7896566526152,0,2,2,1,1
5,5,1,21.0,30000,Ярославский,Холмогорская ,3,Медведково,55.8797264,37.7185833,1,15.540969382867775,3.676150856410241,0,7,3,1,4
3,9,1,35.0,30000,Троицк, Школьная,9,Толстопальцево,55.5934844,37.2159789,1,30.73534497330355,2.4456986922809008,0,0,1,0,1
18,19,1,29.6,29000,Щербинка, Барышевская Роща,12,Щербинка,55.5036662,37.5398515,1,28.04290459694326,1.5493062510228262,3,3,0,1,1
4,22,2,68.0,28000,Лефортово, Крузенштерна,2,Площадь Ильича,55.7501985,37.687427,1,4.380743224564117,0.541692523842769,2,1,2,2,1
9,25,2,64.0,25000,Савеловский, Юннатов,4кВ,Гражданская,55.7999629,37.5613445,1,6.383516078862287,0.8031582849640755,1,7,6,1,10
5,16,1,20.0,28000,Щербинка, Дзержинского,6,Кокошкино,55.4984588,37.5525274,1,28.488574993224688,26.487202634891485,0,2,0,0,0
1,12,1,14.0,26800,Можайский,Сколковское шоссе,10,Сетунь,55.7093749,37.4017614,1,14.316021252604118,1.6190727663607694,0,2,4,1,3
9,16,1,20.0,30000,Крюково,проспект Георгиевский,37к1,Крюково,55.9676733,37.149908,1,37.76847786930432,1.9925107755318456,2,3,1,1,1
7,17,1,43.0,30000,Южное Бутово, Маршала Савицкого,12,Щербинка,55.5041853,37.5844773,1,27.636150856332907,1.5431283792677322,2,1,1,0,3
2,5,1,22.0,30000,Головинский,Онежская ,15,Коптево,55.850465,37.5178353,1,12.594406627586782,1.211838735185809,1,8,3,0,2
13,13,1,26.0,30000,Рязановское,шоссе Рязановское,31к1,Силикатная,55.4761547,37.5307435,1,31.15520934174232,1.678678409156597,0,1,2,0,2
11,16,1,40.0,30000,Южное Бутово,2-я Мелитопольская ,19К3,Бутово,55.5394752,37.5804604,1,23.748233149526847,1.8414811358197567,1,2,2,0,1
6,20,1,40.0,15000,Бирюлево Восточное,6-я Радиальная ,7/1к1,Царицыно,55.6078868,37.6648622,1,16.29995860214129,1.18559340408116,0,3,0,0,3
30,38,1,43.1,30000,Пресненский,Шмитовский проезд,39к6,Шелепиха,55.7559044,37.5392143,0,4.917616712735294,0.8577311983562049,1,4,1,2,7
9,15,1,24.0,29999,Рязановское, Уточкина,5к2,Силикатная,55.4744549,37.5252947,1,31.402635588678383,1.9459569734550164,0,0,1,0,0
2,2,1,19.4,30000,Кокошкино, 1-я Октябрьская,46А,Кокошкино,55.5943521,37.1596807,1,33.637346866703965,0.9474307333647478,0,0,2,0,0
4,5,1,25.0,30000,Ярославский,Холмогорская ,3,Медведково,55.8797264,37.7185833,1,15.540969382867775,3.676150856410241,0,7,3,1,4
11,14,2,37.5,30000,Рязановское, Красовского,2к2,Щербинка,55.4958433,37.5207514,1,29.126276288915896,3.022088709150288,0,0,2,0,0
14,16,1,45.0,28000,Троицк,проспект Октябрьский,4,Кокошкино,55.5970065,37.1697456,1,32.94418469264979,0.3191132186522001,4,3,1,0,1
3,5,1,33.2,27000,пос. Рогово, Юбилейная,15,Медведково,55.9115767,37.7167204,1,18.79248847363405,4.317046207653886,0,2,2,0,2
1,9,1,40.0,30000,Старое Крюково,Зеленоград,к920,Крюково,55.9853885,37.1872955,1,37.33312404646789,1.05909539857904,0,3,4,1,3
16,17,1,27.0,30000,Крюково,проспект Георгиевский,33к2,Крюково,55.9674343,37.1523127,1,37.63581046196413,1.90343590339782,3,3,1,1,1
1,19,1,23.0,25000,Молжаниновский,Синявинская ,11к3,Подрезково,55.9486903,37.3475059,1,27.60882099412885,1.1151427021131894,0,0,2,0,3
11,14,1,25.0,29999,Рязановское, Уточкина,7к3,Силикатная,55.4756831,37.5239916,1,31.2836585217454,2.061379097722668,0,0,1,0,0
8,23,1,40.0,30000,Западное Дегунино, Летчика Осканова,6,Верхние Лихоборы,55.8553244,37.5574996,1,12.083115960570495,0.3341456069601805,0,3,0,1,0
13,14,1,32.0,30000,Рязановское,переулок Любучанский,1к1,Щербинка,55.5005404,37.5251694,1,28.55801301243237,2.534656116639573,1,0,0,0,0
10,12,3,79.0,20000,Можайский,Сколковское шоссе,40к2,Сетунь,55.7007091,37.3938282,1,15.12366894942679,2.5669292892761724,0,0,0,1,0
1,14,1,12.0,26000,Южное Бутово, Маршала Савицкого,18к2,Щербинка,55.5028626,37.5883355,1,27.76579718325284,1.825010835377492,2,1,2,0,3
18,32,1,37.8,25000,Можайский, Петра Алексеева,14,Давыдково,55.7162587,37.4311173,1,12.32775532784354,1.291761196315656,0,2,2,2,1
1,11,2,61.0,30000,Можайский,Сколковское шоссе,40к1,Сетунь,55.7002251,37.3947116,1,15.092989477174726,2.61660569053546,0,0,0,1,0
11,17,1,24.0,30000,Рязановское, Уточкина,5к2,Силикатная,55.4744549,37.5252947,1,31.402635588678383,1.9459569734550164,0,0,1,0,0
11,29,0,21.0,29000,Митино,Пятницкое шоссе,56Б,Пятницкое шоссе,55.8551998,37.3561824,1,19.95805515652061,0.259101098935356,2,5,2,2,6
4,19,1,23.0,26000,Молжаниновский,Синявинская ,11к3,Подрезково,55.9486903,37.3475059,1,27.60882099412885,1.1151427021131894,0,0,2,0,3
2,23,1,27.0,30000,Щербинка, Барышевская Роща,18,Щербинка,55.5032062,37.5368944,1,28.12608612958656,1.7395936060930766,3,3,1,1,1
2,8,1,25.0,30000,Филимонковское, Братьев Бромлей,5к2,Филатов луг,55.5664977,37.2875472,1,29.22201767950024,8.394323135466934,0,3,1,0,0
1,3,1,20.0,29000,Бабушкинский, Радужная,2,Бабушкинская,55.8598367,37.6635309,0,12.32862448825443,1.2024462350382237,4,3,1,1,2
1,15,0,20.0,27000,Щербинка, Барышевская Роща,2,Щербинка,55.500556,37.5429431,1,28.350887153796524,1.5750042645645237,4,3,1,0,1
7,8,1,45.5,25000,Московский, Татьянин Парк,12к5,Говорово,55.6558112,37.4228045,1,16.22521934461815,0.4747480668911302,0,3,1,1,0
3,4,1,36.8,17000,Краснопахорское, Ирландская,4к2,Потапово,55.4336693,37.3248717,1,39.88950661449801,16.857889099813118,0,0,0,0,0
6,22,1,35.4,30000,Внуковское,бульвар Андрея Тарковского,10,Рассказовка,55.6248171,37.3388448,1,22.47511084179029,0.9246335164302654,0,1,0,1,0
6,22,1,35.1,20000,Внуковское,бульвар Андрея Тарковского,10,Рассказовка,55.6248171,37.3388448,1,22.47511084179029,0.9246335164302654,0,1,0,1,0
11,13,1,34.2,30000,Покровское-Стрешнево, Николая Озерова,8к1,Спартак,55.8151646,37.4295902,1,13.68733204136196,0.486567062506285,3,3,1,1,1
10,16,2,40.3,23000,Сосенское, Лобановский Лес,11,Ольховая,55.593554,37.4299227,1,21.18585491259164,3.263506801708589,0,3,1,1,0
9,18,1,35.0,15000,Рязановское, Уточкина,7к1,Силикатная,55.4753048,37.5255568,1,31.30670498263876,1.954796550507165,0,0,1,0,0
15,39,3,96.0,25000,Раменки, Василия Ланового,3,Аминьевская,55.6955027,37.4783801,1,10.742359558435554,0.7814256512841168,0,0,0,4,2
